covid_vacc_date,F,M,F_total,M_total
2021-08-11,0.0,0.0,985061,1037106
2021-08-12,0.0,0.0,985061,1037106
2021-08-18,0.0,0.0,985061,1037106
2021-08-21,0.0,0.0,985061,1037106
2021-08-26,0.0,0.0,985061,1037106
2021-09-18,0.0,0.0,985061,1037106
2021-09-19,0.0,0.0,985061,1037106
2021-09-23,0.0,7.0,985061,1037106
2021-10-04,0.0,7.0,985061,1037106
2021-10-11,0.0,7.0,985061,1037106
2021-10-13,0.0,7.0,985061,1037106
2021-10-15,7.0,7.0,985061,1037106
2021-10-20,7.0,7.0,985061,1037106
2021-11-01,7.0,14.0,985061,1037106
2021-11-02,7.0,14.0,985061,1037106
2021-11-04,14.0,14.0,985061,1037106
2021-11-05,14.0,14.0,985061,1037106
2021-11-06,14.0,14.0,985061,1037106
2021-11-08,14.0,21.0,985061,1037106
2021-11-09,14.0,21.0,985061,1037106
2021-11-10,21.0,21.0,985061,1037106
2021-11-11,21.0,28.0,985061,1037106
2021-11-12,21.0,28.0,985061,1037106
2021-11-13,21.0,35.0,985061,1037106
2021-11-16,21.0,35.0,985061,1037106
2021-11-17,21.0,35.0,985061,1037106
2021-11-18,28.0,35.0,985061,1037106
2021-11-19,28.0,35.0,985061,1037106
2021-11-21,28.0,35.0,985061,1037106
2021-11-23,35.0,35.0,985061,1037106
2021-11-24,35.0,42.0,985061,1037106
2021-11-25,42.0,42.0,985061,1037106
2021-11-26,42.0,42.0,985061,1037106
2021-11-29,42.0,42.0,985061,1037106
2021-11-30,42.0,49.0,985061,1037106
2021-12-01,49.0,49.0,985061,1037106
2021-12-04,49.0,49.0,985061,1037106
2021-12-05,49.0,49.0,985061,1037106
2021-12-06,49.0,49.0,985061,1037106
2021-12-07,49.0,49.0,985061,1037106
2021-12-08,63.0,56.0,985061,1037106
2021-12-09,63.0,56.0,985061,1037106
2021-12-11,63.0,56.0,985061,1037106
2021-12-12,63.0,56.0,985061,1037106
2021-12-13,70.0,70.0,985061,1037106
2021-12-14,77.0,70.0,985061,1037106
2021-12-16,77.0,77.0,985061,1037106
2021-12-17,84.0,77.0,985061,1037106
2021-12-18,91.0,84.0,985061,1037106
2021-12-19,91.0,84.0,985061,1037106
2021-12-20,98.0,91.0,985061,1037106
2021-12-21,98.0,91.0,985061,1037106
2021-12-22,105.0,98.0,985061,1037106
2021-12-23,112.0,105.0,985061,1037106
2021-12-24,112.0,105.0,985061,1037106
2021-12-26,119.0,105.0,985061,1037106
2021-12-27,119.0,112.0,985061,1037106
2021-12-28,126.0,112.0,985061,1037106
2021-12-29,126.0,119.0,985061,1037106
2021-12-30,133.0,119.0,985061,1037106
2021-12-31,133.0,119.0,985061,1037106
2022-01-01,133.0,119.0,985061,1037106
2022-01-03,140.0,126.0,985061,1037106
2022-01-04,140.0,126.0,985061,1037106
2022-01-05,140.0,126.0,985061,1037106
2022-01-06,147.0,133.0,985061,1037106
2022-01-07,147.0,133.0,985061,1037106
2022-01-08,147.0,133.0,985061,1037106
2022-01-09,154.0,140.0,985061,1037106
2022-01-10,154.0,140.0,985061,1037106
2022-01-11,161.0,140.0,985061,1037106
2022-01-12,161.0,147.0,985061,1037106
2022-01-13,161.0,147.0,985061,1037106
2022-01-14,168.0,154.0,985061,1037106
2022-01-15,175.0,161.0,985061,1037106
2022-01-16,175.0,161.0,985061,1037106
2022-01-17,182.0,168.0,985061,1037106
2022-01-18,182.0,168.0,985061,1037106
2022-01-19,189.0,175.0,985061,1037106
2022-01-20,196.0,182.0,985061,1037106
2022-01-21,203.0,182.0,985061,1037106
2022-01-22,203.0,182.0,985061,1037106
2022-01-23,203.0,189.0,985061,1037106
2022-01-24,203.0,189.0,985061,1037106
2022-01-25,210.0,189.0,985061,1037106
2022-01-26,210.0,189.0,985061,1037106
2022-01-27,210.0,196.0,985061,1037106
2022-01-28,224.0,203.0,985061,1037106
2022-01-29,252.0,252.0,985061,1037106
2022-01-30,252.0,259.0,985061,1037106
2022-01-31,259.0,273.0,985061,1037106
2022-02-01,294.0,322.0,985061,1037106
2022-02-02,308.0,350.0,985061,1037106
2022-02-03,399.0,469.0,985061,1037106
2022-02-04,441.0,525.0,985061,1037106
2022-02-05,707.0,875.0,985061,1037106
2022-02-06,742.0,931.0,985061,1037106
2022-02-07,791.0,1015.0,985061,1037106
2022-02-08,945.0,1176.0,985061,1037106
2022-02-09,1036.0,1372.0,985061,1037106
2022-02-10,1162.0,1526.0,985061,1037106
2022-02-11,1267.0,1666.0,985061,1037106
2022-02-12,1771.0,2457.0,985061,1037106
2022-02-13,1960.0,2730.0,985061,1037106
2022-02-14,2100.0,2898.0,985061,1037106
2022-02-15,2240.0,3108.0,985061,1037106
2022-02-16,2443.0,3451.0,985061,1037106
2022-02-17,2674.0,3801.0,985061,1037106
2022-02-18,2863.0,4032.0,985061,1037106
2022-02-19,3220.0,4494.0,985061,1037106
2022-02-20,3360.0,4711.0,985061,1037106
2022-02-21,3479.0,4858.0,985061,1037106
2022-02-22,3605.0,5040.0,985061,1037106
2022-02-23,3829.0,5425.0,985061,1037106
2022-02-24,4067.0,5775.0,985061,1037106
2022-02-25,4242.0,6055.0,985061,1037106
2022-02-26,4508.0,6426.0,985061,1037106
2022-02-27,4634.0,6608.0,985061,1037106
2022-02-28,4711.0,6762.0,985061,1037106
2022-03-01,4760.0,6874.0,985061,1037106
2022-03-02,4816.0,6972.0,985061,1037106
2022-03-03,4865.0,7056.0,985061,1037106
2022-03-04,4977.0,7231.0,985061,1037106
2022-03-05,5166.0,7469.0,985061,1037106
2022-03-06,5264.0,7616.0,985061,1037106
2022-03-07,5299.0,7686.0,985061,1037106
2022-03-08,5341.0,7749.0,985061,1037106
2022-03-09,5404.0,7805.0,985061,1037106
2022-03-10,5460.0,7882.0,985061,1037106
2022-03-11,5516.0,7959.0,985061,1037106
2022-03-12,5642.0,8169.0,985061,1037106
2022-03-13,5719.0,8267.0,985061,1037106
2022-03-14,5733.0,8295.0,985061,1037106
2022-03-15,5789.0,8372.0,985061,1037106
2022-03-16,5824.0,8428.0,985061,1037106
2022-03-17,5866.0,8477.0,985061,1037106
2022-03-18,5915.0,8554.0,985061,1037106
2022-03-19,6013.0,8701.0,985061,1037106
2022-03-20,6055.0,8764.0,985061,1037106
2022-03-21,6076.0,8799.0,985061,1037106
2022-03-22,6104.0,8834.0,985061,1037106
2022-03-23,6139.0,8876.0,985061,1037106
2022-03-24,6167.0,8897.0,985061,1037106
2022-03-25,6202.0,8932.0,985061,1037106
2022-03-26,6293.0,9030.0,985061,1037106
2022-03-27,6335.0,9093.0,985061,1037106
2022-03-28,6356.0,9128.0,985061,1037106
2022-03-29,6370.0,9142.0,985061,1037106
2022-03-30,6426.0,9212.0,985061,1037106
2022-03-31,6454.0,9247.0,985061,1037106
2022-04-01,6482.0,9289.0,985061,1037106
2022-04-02,6678.0,9478.0,985061,1037106
2022-04-03,6832.0,9632.0,985061,1037106
2022-04-04,7553.0,10444.0,985061,1037106
2022-04-05,8519.0,11487.0,985061,1037106
2022-04-06,9527.0,12446.0,985061,1037106
2022-04-07,10437.0,13412.0,985061,1037106
2022-04-08,11487.0,14462.0,985061,1037106
2022-04-09,14014.0,16989.0,985061,1037106
2022-04-10,15820.0,18837.0,985061,1037106
2022-04-11,17787.0,20825.0,985061,1037106
2022-04-12,20076.0,23191.0,985061,1037106
2022-04-13,22393.0,25585.0,985061,1037106
2022-04-14,24843.0,28063.0,985061,1037106
2022-04-15,26243.0,29533.0,985061,1037106
2022-04-16,28336.0,31780.0,985061,1037106
2022-04-17,28875.0,32361.0,985061,1037106
2022-04-18,29799.0,33327.0,985061,1037106
2022-04-19,31759.0,35413.0,985061,1037106
2022-04-20,33418.0,37065.0,985061,1037106
2022-04-21,35798.0,39557.0,985061,1037106
2022-04-22,38101.0,42112.0,985061,1037106
2022-04-23,41699.0,45717.0,985061,1037106
2022-04-24,43834.0,47810.0,985061,1037106
2022-04-25,44695.0,48706.0,985061,1037106
2022-04-26,45703.0,49812.0,985061,1037106
2022-04-27,46767.0,50981.0,985061,1037106
2022-04-28,47964.0,52332.0,985061,1037106
2022-04-29,49511.0,53900.0,985061,1037106
2022-04-30,52990.0,57428.0,985061,1037106
2022-05-01,54586.0,59038.0,985061,1037106
2022-05-02,55419.0,59850.0,985061,1037106
2022-05-03,56280.0,60725.0,985061,1037106
2022-05-04,57400.0,61803.0,985061,1037106
2022-05-05,58268.0,62804.0,985061,1037106
2022-05-06,59346.0,63931.0,985061,1037106
2022-05-07,62237.0,66913.0,985061,1037106
2022-05-08,63721.0,68369.0,985061,1037106
2022-05-09,64155.0,68873.0,985061,1037106
2022-05-10,64673.0,69426.0,985061,1037106
2022-05-11,65422.0,70217.0,985061,1037106
2022-05-12,66192.0,71015.0,985061,1037106
2022-05-13,67025.0,71897.0,985061,1037106
2022-05-14,69580.0,74529.0,985061,1037106
2022-05-15,70980.0,75957.0,985061,1037106
2022-05-16,71456.0,76447.0,985061,1037106
2022-05-17,71960.0,76965.0,985061,1037106
2022-05-18,72548.0,77595.0,985061,1037106
2022-05-19,73150.0,78204.0,985061,1037106
2022-05-20,73892.0,78897.0,985061,1037106
2022-05-21,75761.0,80843.0,985061,1037106
2022-05-22,76587.0,81683.0,985061,1037106
2022-05-23,76888.0,82005.0,985061,1037106
2022-05-24,77294.0,82411.0,985061,1037106
2022-05-25,77805.0,82943.0,985061,1037106
2022-05-26,78232.0,83391.0,985061,1037106
2022-05-27,78834.0,83979.0,985061,1037106
2022-05-28,80178.0,85435.0,985061,1037106
2022-05-29,80920.0,86156.0,985061,1037106
2022-05-30,81781.0,87017.0,985061,1037106
2022-05-31,82698.0,87892.0,985061,1037106
2022-06-01,83580.0,88774.0,985061,1037106
2022-06-02,83741.0,88949.0,985061,1037106
2022-06-03,83853.0,89047.0,985061,1037106
2022-06-04,84371.0,89656.0,985061,1037106
2022-06-05,84686.0,89971.0,985061,1037106
2022-06-06,84980.0,90279.0,985061,1037106
2022-06-07,85204.0,90524.0,985061,1037106
2022-06-08,85484.0,90888.0,985061,1037106
2022-06-09,85841.0,91231.0,985061,1037106
2022-06-10,86163.0,91518.0,985061,1037106
2022-06-11,87332.0,92701.0,985061,1037106
2022-06-12,87885.0,93261.0,985061,1037106
2022-06-13,88060.0,93478.0,985061,1037106
2022-06-14,88312.0,93751.0,985061,1037106
2022-06-15,88592.0,93996.0,985061,1037106
2022-06-16,88921.0,94339.0,985061,1037106
2022-06-17,89201.0,94654.0,985061,1037106
2022-06-18,90146.0,95697.0,985061,1037106
2022-06-19,90573.0,96096.0,985061,1037106
2022-06-20,90727.0,96271.0,985061,1037106
2022-06-21,90944.0,96481.0,985061,1037106
2022-06-22,91210.0,96754.0,985061,1037106
2022-06-23,91497.0,97083.0,985061,1037106
2022-06-24,91805.0,97412.0,985061,1037106
2022-06-25,92995.0,98749.0,985061,1037106
2022-06-26,93520.0,99211.0,985061,1037106
2022-06-27,93716.0,99407.0,985061,1037106
2022-06-28,93926.0,99631.0,985061,1037106
2022-06-29,94164.0,99904.0,985061,1037106
2022-06-30,94458.0,100184.0,985061,1037106
2022-07-01,94759.0,100457.0,985061,1037106
2022-07-02,95669.0,101402.0,985061,1037106
2022-07-03,96110.0,101878.0,985061,1037106
2022-07-04,96257.0,102032.0,985061,1037106
2022-07-05,96509.0,102249.0,985061,1037106
2022-07-06,96754.0,102508.0,985061,1037106
2022-07-07,97006.0,102767.0,985061,1037106
2022-07-08,97279.0,103040.0,985061,1037106
2022-07-09,98014.0,103803.0,985061,1037106
2022-07-10,98413.0,104216.0,985061,1037106
2022-07-11,98581.0,104398.0,985061,1037106
2022-07-12,98791.0,104601.0,985061,1037106
2022-07-13,99022.0,104846.0,985061,1037106
2022-07-14,99225.0,105049.0,985061,1037106
2022-07-15,99421.0,105266.0,985061,1037106
2022-07-16,100114.0,106008.0,985061,1037106
2022-07-17,100443.0,106330.0,985061,1037106
2022-07-18,100548.0,106407.0,985061,1037106
2022-07-19,100660.0,106526.0,985061,1037106
2022-07-20,100821.0,106701.0,985061,1037106
2022-07-21,101010.0,106897.0,985061,1037106
2022-07-22,101325.0,107247.0,985061,1037106
2022-07-23,101934.0,107863.0,985061,1037106
2022-07-24,102221.0,108122.0,985061,1037106
2022-07-25,102466.0,108437.0,985061,1037106
2022-07-26,102739.0,108710.0,985061,1037106
2022-07-27,103019.0,109011.0,985061,1037106
2022-07-28,103299.0,109312.0,985061,1037106
2022-07-29,103558.0,109606.0,985061,1037106
2022-07-30,104069.0,110082.0,985061,1037106
2022-07-31,104314.0,110313.0,985061,1037106
2022-08-01,104545.0,110572.0,985061,1037106
2022-08-02,104769.0,110824.0,985061,1037106
2022-08-03,105007.0,111069.0,985061,1037106
2022-08-04,105189.0,111286.0,985061,1037106
2022-08-05,105420.0,111482.0,985061,1037106
2022-08-06,105791.0,111867.0,985061,1037106
2022-08-07,105994.0,112091.0,985061,1037106
2022-08-08,106183.0,112287.0,985061,1037106
2022-08-09,106337.0,112441.0,985061,1037106
2022-08-10,106533.0,112630.0,985061,1037106
